100, 1875, 3500, 2542
200, 1000, 3625, 3334
300, 1250, 5417, 5167
400, 792, 6792, 3584
500, 709, 9709, 5750
600, 1083, 10500, 10917
700, 958, 11625, 4084
800, 708, 13458, 5500
900, 708, 14958, 12458
1000, 875, 19375, 15333
1100, 1792, 18750, 4250
1200, 833, 20792, 13375
1300, 750, 21792, 18125
1400, 708, 22750, 12000
1500, 709, 24875, 5042
1600, 709, 27125, 18042
1700, 833, 28083, 2084
1800, 625, 30083, 10709
1900, 709, 30209, 14292
2000, 750, 33500, 22292
2100, 750, 35041, 25375
2200, 708, 36125, 1041
2300, 750, 38208, 10083
2400, 917, 39833, 27875
2500, 833, 41083, 31833
2600, 791, 42750, 41583
2700, 917, 44292, 2625
2800, 1417, 46542, 33708
2900, 917, 47792, 28917
3000, 1375, 50083, 9958
3100, 1042, 51042, 46792
3200, 252875, 52750, 35083
3300, 1291, 52625, 52167
3400, 875, 54125, 42041
3500, 791, 63333, 42250
3600, 1209, 60542, 58292
3700, 958, 61833, 48208
3800, 833, 70000, 70875
3900, 2208, 318791, 61500
4000, 1542, 357750, 4833
4100, 1334, 31542, 16584
4200, 1625, 29916, 27583
4300, 1291, 36958, 72375
4400, 1000, 31416, 24042
4500, 834, 11125, 7625
4600, 1875, 186458, 35500
4700, 2000, 12208, 9500
4800, 1000, 10875, 130334
4900, 2875, 23292, 5125
5000, 1792, 16083, 676167
5100, 1375, 11917, 68167
5200, 2041, 12583, 39708
5300, 1166, 12083, 11167
5400, 2375, 12542, 31583
5500, 1542, 577292, 1541
5600, 1709, 57667, 9125
5700, 2000, 154958, 77250
5800, 1583, 32500, 8750
5900, 1333, 1417, 4500
6000, 1125, 182833, 2500
6100, 1208, 1333, 9542
6200, 792, 1250, 5542
6300, 2584, 1292, 40667
6400, 4625, 2667, 18000
6500, 1042, 1292, 9500
6600, 792, 1334, 2958
6700, 708, 1250, 26792
6800, 750, 1333, 14792
6900, 875, 1334, 4416
7000, 792, 1375, 7541
7100, 792, 1333, 9708
7200, 2291, 1375, 88125
7300, 1167, 1417, 230375
7400, 1458, 1500, 27958
7500, 875, 1458, 12333
7600, 1625, 2125, 43458
7700, 1000, 1583, 1334
7800, 791, 1500, 1458
7900, 917, 1500, 1167
8000, 833, 1542, 208
8100, 833, 1542, 458
8200, 833, 1542, 334
8300, 959, 1750, 209
8400, 834, 1667, 458
8500, 18041, 1667, 3375
8600, 1791, 2083, 52458
8700, 2333, 3541, 38542
8800, 5625, 1958, 40541
8900, 1250, 1875, 1292
9000, 4708, 1791, 1500
9100, 1000, 1917, 792
9200, 1792, 12459, 1333
9300, 1083, 1792, 166
9400, 833, 1709, 375
9500, 833, 1750, 667
9600, 834, 1750, 916
9700, 750, 1792, 83
9800, 833, 1792, 1917
9900, 875, 1917, 875
10000, 875, 1833, 1417
10100, 750, 1834, 750
10200, 833, 1833, 250
10300, 792, 1875, 708
10400, 791, 1875, 83
10500, 792, 1916, 125
10600, 917, 1916, 1833
10700, 2375, 2083, 1209
10800, 1042, 2083, 750
10900, 958, 2000, 1042
11000, 875, 2125, 1958
11100, 875, 2000, 1625
11200, 792, 2042, 125
11300, 834, 2083, 1584
11400, 875, 2083, 1708
11500, 833, 2125, 1833
11600, 750, 2125, 1209
11700, 833, 2125, 917
11800, 833, 2125, 958
11900, 875, 2333, 959
12000, 3417, 2583, 959
12100, 1292, 2958, 2166
12200, 958, 2250, 1750
12300, 833, 2208, 875
12400, 833, 2250, 1292
12500, 791, 2250, 1958
12600, 833, 2292, 1792
12700, 833, 2375, 1333
12800, 1542, 2875, 416
12900, 1375, 2708, 833
13000, 1458, 2625, 38166
13100, 1000, 2459, 875
13200, 834, 2416, 667
13300, 1042, 33458, 1791
13400, 1042, 2542, 1458
13500, 750, 2458, 1958
13600, 917, 2458, 1958
13700, 834, 2875, 2000
13800, 750, 2500, 1916
13900, 792, 2583, 1125
14000, 9208, 2625, 3917
14100, 1125, 3083, 1833
14200, 833, 2583, 2167
14300, 834, 3000, 1209
14400, 4459, 2667, 2833
14500, 1083, 2959, 2375
14600, 917, 2666, 2083
14700, 834, 2667, 1542
14800, 875, 2666, 2500
14900, 834, 2709, 1375
15000, 791, 2750, 2167
15100, 875, 2708, 1666
15200, 875, 2709, 1458
15300, 833, 3000, 2042
15400, 834, 2750, 1250
15500, 833, 2792, 916
15600, 2083, 2834, 2166
15700, 1167, 2958, 2208
15800, 1000, 3125, 1209
15900, 875, 3084, 1375
16000, 1041, 3083, 250
16100, 916, 2875, 2750
16200, 833, 2916, 2542
16300, 30333, 2959, 2375
16400, 59583, 3208, 2792
16500, 250, 3000, 666
16600, 167, 3000, 1958
16700, 166, 3000, 1000
16800, 208, 3042, 417
16900, 209, 3041, 2750
17000, 166, 3042, 1375
17100, 167, 3041, 459
17200, 208, 3084, 208
17300, 209, 3083, 3041
17400, 208, 3125, 1667
17500, 2000, 3250, 708
17600, 209, 3583, 2333
17700, 208, 3208, 2708
17800, 209, 3208, 1917
17900, 208, 3417, 708
18000, 166, 3708, 417
18100, 208, 3458, 2958
18200, 167, 3292, 2666
18300, 166, 3250, 333
18400, 208, 3334, 1500
18500, 167, 3334, 2291
18600, 333, 4458, 2417
18700, 60541, 3625, 3875
18800, 45791, 3500, 2333
18900, 3041, 3709, 3666
19000, 250, 4500, 917
19100, 166, 3458, 2792
19200, 250, 3583, 542
19300, 292, 3916, 1541
19400, 250, 3625, 3208
19500, 250, 3542, 3167
19600, 167, 3833, 2959
19700, 167, 3542, 3333
19800, 166, 4084, 1417
19900, 208, 3584, 1292
20000, 167, 3625, 3250
20100, 167, 3625, 541
20200, 250, 3666, 1167
20300, 166, 3792, 625
20400, 1959, 3833, 5250
20500, 208, 4375, 2125
20600, 208, 3750, 791
20700, 208, 3708, 3083
20800, 208, 3750, 1833
20900, 250, 3750, 416
21000, 166, 3792, 3333
21100, 209, 3792, 2500
21200, 167, 3833, 1459
21300, 166, 3791, 2167
21400, 166, 3833, 2417
21500, 250, 4375, 3916
21600, 667, 3959, 4167
21700, 167, 3917, 3291
21800, 291, 3917, 2167
21900, 208, 4083, 3333
22000, 208, 4084, 1541
22100, 208, 3958, 2458
22200, 208, 3958, 2458
22300, 209, 4000, 2583
22400, 209, 4000, 2167
22500, 500, 4042, 2625
22600, 208, 4500, 583
22700, 5541, 4209, 1917
22800, 541, 4667, 4375
22900, 209, 4584, 792
